Country_Name,Country_Code,Time,Time_Code,ST_INT_DPRT,ST_INT_ARVL,ST_INT_XPND_CD,ST_INT_XPND_MP_ZS,ST_INT_RCPT_XP_ZS,SP_POP_GROW,SP_POP_TOTL,AG_LND_TOTL_K2,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,ST_INT_TRNX_CD,SP_DYN_LE00_IN,IS_AIR_DPRT,NY_GNP_MKTP_KD_ZG,NY_GNP_PCAP_KD_ZG,SE_PRM_CUAT_ZS,SE_SEC_CUAT_LO_ZS
Bahrain,BHR,2012,YR2012,,8062000,975000000,3.786525094,5.578011482,1.690358099,1299942,770,30749308511,3.72810843,161000000,76.342,63711.97917,16.833169,14.87486785,,
Bahrain,BHR,2013,YR2013,,9163000,1001000000,3.533184387,5.498062031,1.153907053,1315029,770,32539468085,5.41683981,162000000,76.484,52452,4.807666035,3.605233801,,
Bahrain,BHR,2014,YR2014,,10452000,758000000,2.855104985,5.965234699,1.587599572,1336073,771,33387712766,4.350390853,147000000,76.624,55980,3.137222187,1.512745304,,
Bahrain,BHR,2015,YR2015,4741000,9670000,4939000000,22.14613321,11.02018558,2.642766637,1371853,778,31050638298,2.485378558,597000000,76.762,57444,2.285354769,-0.382401903,,
Bahrain,BHR,2016,YR2016,3293000,10158000,3267000000,15.49219962,16.90761678,3.856576946,1425793,779,32234973404,3.558128119,884000000,76.899,55592,3.681789639,-0.240656139,76.74710846,69.22395325
Bahrain,BHR,2017,YR2017,3136000,11374000,3178000000,13.31025341,16.38474625,4.678047471,1494077,780,35473776596,4.290949778,878000000,77.032,54474,4.100428298,-0.657287432,79.6901474,72.34710693
Bahrain,BHR,2018,YR2018,2868000,12045000,2522000000,9.276503331,12.73866709,4.921024296,1569440,780,37802005319,2.111130473,863000000,77.163,57094,2.180960394,-2.725671091,87.02290344,79.93611908
Bahrain,BHR,2019,YR2019,2950000,11061000,2637000000,,,4.468687834,1641164,780,38653318085,2.166964669,917000000,77.292,57321,1.835480012,-2.615048984,,
Barbados,BRB,2012,YR2012,,1053000,100000000,4.469686571,44.72695981,0.25093319,283698,430,4610095998,-0.432678554,42000000,78.547,,,,,
Barbados,BRB,2013,YR2013,,1079000,102000000,4.23894443,42.16370353,0.209862188,284294,430,4677248302,-1.447407479,43000000,78.633,,,,,
Barbados,BRB,2014,YR2014,,1079000,115000000,4.974566209,38.82327542,0.186604262,284825,430,4696344342,-0.087262849,66000000,78.717,,,,,
Barbados,BRB,2015,YR2015,,1179000,119000000,5.30509685,41.30148849,0.176093438,285327,430,4724691213,2.472620346,63000000,78.801,,,,,
Barbados,BRB,2016,YR2016,,1227000,99000000,4.449667243,44.79383825,0.164937661,285798,430,4832811756,2.533023951,46000000,78.888,,,,,
Barbados,BRB,2017,YR2017,,1345000,,,,0.150692216,286229,430,4981588900,0.456291514,,78.981,,,,,
Barbados,BRB,2018,YR2018,,1356000,,,,0.143488326,286640,430,5097283213,-1.027139116,,79.081,,,,,
Barbados,BRB,2019,YR2019,,966000,,,,0.132831082,287021,430,5304164323,-0.610274656,,79.19,,,,,
Bermuda,BMU,2012,YR2012,,610000,327000000,18.17715636,32.00282162,0.361775877,64798,54,6378188000,-5.305299107,106000000,81.67780488,,,,,
Bermuda,BMU,2013,YR2013,,576000,322000000,16.88543381,32.13419545,0.312791571,65001,54,6465756000,-0.279708545,100000000,80.57243902,,,,,
Bermuda,BMU,2014,YR2014,,580000,378000000,19.31937144,30.11316078,0.210544188,65138,54,6413988000,-3.701067594,114000000,80.79731707,,,,,
Bermuda,BMU,2015,YR2015,,597000,363000000,19.8577343,29.3746488,0.151869636,65237,54,6654541000,0.7755297,119000000,81.01219512,,0.59571787,0.44305947,,
Bermuda,BMU,2016,YR2016,,642000,373000000,19.38692966,33.49844943,-1.05247098,64554,54,6899911000,-0.657206304,124000000,81.22707317,,-1.200627892,-0.155301945,,
Bermuda,BMU,2017,YR2017,,688000,369000000,18.0496791,36.76864703,-1.060534596,63873,54,7142316000,3.611419837,114000000,81.44195122,,4.716695215,5.833161788,,
Bermuda,BMU,2018,YR2018,,766000,334000000,15.20177688,36.76937789,0.070427498,63918,54,7225977000,-0.4328013,80000000,81.65170732,,-1.385182348,-1.454609846,,
Bermuda,BMU,2019,YR2019,,805000,342000000,15.37892575,37.44420842,-0.010952131,63911,54,7423465000,0.306266735,78000000,81.86658537,,-1.609214331,-1.598437853,,
Comoros,COM,2012,YR2012,,22799.99924,36299999.24,11.28592332,43.89024438,2.417131148,723865,1861,1015843369,3.168409884,16600000.38,62.595,,3.076539362,0.614914424,,
Comoros,COM,2013,YR2013,,21899.99962,,,,2.408508535,741511,1861,1116224161,4.466247299,,62.922,,4.657093626,2.166531687,,
Comoros,COM,2014,YR2014,,22799.99924,40000000,11.92980981,50.17946586,2.382548316,759390,1861,1149587652,2.106657603,16000000,63.214,,2.221088288,-0.185594494,,
Comoros,COM,2015,YR2015,,23600.00038,34000000,12.72040205,53.19636268,2.348455985,777435,1861,966029542,1.147350763,15000000,63.471,,1.439289372,-0.915212261,,
Comoros,COM,2016,YR2016,,26799.99924,38000000,14.17925246,46.71586982,2.309273696,795597,1861,1012835518,3.320446555,17000000,63.7,,3.46345509,1.101576813,,
Comoros,COM,2017,YR2017,,28000,42000000,13.75694706,47.27121775,2.27324455,813890,1861,1077439663,3.815762875,18000000,63.912,,3.849131054,1.515016918,,
Comoros,COM,2018,YR2018,,35900.00153,48000000,13.49646428,49.33428751,2.239416344,832322,1861,1188797575,3.642451147,20000000,64.118,,2.71089038,0.436329415,,
Comoros,COM,2019,YR2019,,45099.99847,53000000,15.00312085,51.12171288,2.206465058,850891,1861,1195019559,1.760785817,22000000,64.321,,-0.131545147,-2.310975107,,
Malta,MLT,2012,YR2012,368000,2007000,,,,0.899209212,420028,320,9462238211,4.117707299,,80.74634146,13845,1.714669425,0.804141657,98.2088089,73.2910614
Malta,MLT,2013,YR2013,404000,2013000,,,,1.404050276,425967,320,10551661177,5.473355695,,81.74634146,14257,5.160269138,3.694083169,98.435112,75.63938904
Malta,MLT,2014,YR2014,430000,2162000,,,,1.996754408,434558,320,11626281387,7.633538112,,82.04634146,14022,7.293910389,5.17276204,98.46613312,76.88651276
Malta,MLT,2015,YR2015,456000,2383000,,,,2.386395363,445053,320,11091434484,9.608132811,,81.89756098,13639,9.102786625,6.529983508,98.85703278,77.57135773
Malta,MLT,2016,YR2016,550000,2592000,,,,2.288615441,455356,320,11668286795,3.381450026,,82.45365854,12305,-1.296611199,-3.529899032,98.92752838,78.21851349
Malta,MLT,2017,YR2017,633000,2944000,,,,2.738662856,467999,320,13505056442,11.07915223,,82.34634146,12799,10.75234256,7.760366361,,
Malta,MLT,2018,YR2018,728000,3232000,,,,3.491955403,484630,320,15301279478,6.034213807,,82.44878049,20903,9.137574622,5.392311218,98.93292236,82.17867279
Malta,MLT,2019,YR2019,774000,3519000,,,,3.931356319,504062,320,15719500921,5.861136493,,82.85853659,19317,5.731791316,1.65574478,,
Marshall Islands,MHL,2012,YR2012,,4599.999905,25500000,13.69738004,3.504619252,0.332050183,56712,180,180436300,-2.295210414,12600000.38,,,-6.371722891,-6.682100167,,
Marshall Islands,MHL,2013,YR2013,,,24700000.76,12.18525678,3.812576521,0.388930932,56933,180,184840400,4.017979699,12000000,,,7.543616235,7.126158184,,
Marshall Islands,MHL,2014,YR2014,,4900.000095,23799999.24,13.11296658,6.08609465,0.438151355,57183,180,182142800,-0.950334665,11500000,,,3.348823656,2.896989965,,
Marshall Islands,MHL,2015,YR2015,,6300.000191,26200000.76,16.53641505,3.179603811,0.455390878,57444,180,183814300,1.613921462,11500000,,,9.348844442,8.852011903,,
Marshall Islands,MHL,2016,YR2016,,5400.000095,27000000,15.89190477,65.96954212,0.484514741,57723,180,201510900,1.313281937,11500000,,,-0.209512648,-0.691842845,,
Marshall Islands,MHL,2017,YR2017,,6000,27600000.38,15.3572685,18.69318484,0.570067879,58053,180,213204100,3.25052637,11500000,,2218,1.787324709,1.208718657,,
Marshall Islands,MHL,2018,YR2018,,6800.000191,31399999.62,17.97139205,15.59304199,0.616496178,58412,180,221588900,3.574755164,11500000,,2244,2.328942624,1.700029209,,
Marshall Islands,MHL,2019,YR2019,,6099.999905,,,,0.646743379,58791,180,239462200,6.644663737,,,1967,2.79448947,2.131818117,,
Mauritius,MUS,2012,YR2012,237000,984000,394000000,5.219817879,29.35418381,0.277321026,1255882,2030,11668685524,3.496118338,28000000,73.86341463,12258,8.483593585,8.183162543,,
Mauritius,MUS,2013,YR2013,228000,1015000,458000000,6.231516838,28.21718673,0.220398692,1258653,2030,12129642296,3.360406103,20000000,74.01707317,12079,6.856007377,6.620757474,,
Mauritius,MUS,2014,YR2014,223000,1065000,503000000,6.726838385,28.65986242,0.181061469,1260934,2030,12803445934,3.744575773,22000000,74.19439024,12131,3.740240602,3.552576943,,
Mauritius,MUS,2015,YR2015,242000,1174000,616000000,9.382841525,31.14206917,0.132433083,1262605,2030,11692287066,3.55307173,69000000,74.35317073,12646,4.084067795,3.946317289,,
Mauritius,MUS,2016,YR2016,260000,1307000,683000000,10.57356632,35.0677546,0.068723138,1263473,2030,12232463656,3.837932629,67000000,74.39487805,13614,3.572872099,3.501718024,,
Mauritius,MUS,2017,YR2017,283000,1371000,738000000,10.29364797,37.18753081,0.090186811,1264613,2030,13259351418,3.814152115,69000000,74.51463415,14842,5.094111734,4.999373433,,
Mauritius,MUS,2018,YR2018,296000,1431000,663000000,8.808760432,38.68914482,0.054547267,1265303,2030,14181951059,3.759677231,75000000,74.41634146,14940,5.290561328,5.233143866,,
Mauritius,MUS,2019,YR2019,320000,1418000,656000000,8.90751176,38.49239585,0.032240043,1265711,2030,14045808843,3.012375907,78000000,74.23585366,14937,2.993219931,2.960020224,,
Samoa,WSM,2012,YR2012,56000,135000,22299999.24,5.607419619,66.70595318,0.860430528,189089,2830,760549577.7,-4.088722796,12300000.19,72.136,,,,,
Samoa,WSM,2013,YR2013,51000,125000,13899999.62,3.354757593,59.61550856,0.8546633,190712,2830,770059565,-0.416473139,11500000,72.351,,,,,
Samoa,WSM,2014,YR2014,57000,132000,4099999.905,0.985235694,65.37574256,0.787611271,192220,2830,756805950.2,0.05216796,2599999.905,72.549,9144,,,,
Samoa,WSM,2015,YR2015,54000,139000,2900000.095,0.780412428,61.53462549,0.668864133,193510,2830,788307314.9,4.296880533,1200000.048,72.73,11759,,,,
Samoa,WSM,2016,YR2016,,146000,2099999.905,0.524923385,59.89936807,0.530860672,194540,2830,799493897.5,8.126251777,699999.9881,72.895,13805,,,,
Samoa,WSM,2017,YR2017,55000,158000,3900000.095,0.950797353,59.98735527,0.419597536,195358,2830,832025556.1,1.042431502,699999.9881,73.046,6098,,,,
Samoa,WSM,2018,YR2018,64000,172000,4099999.905,0.975006552,63.87741753,0.39337345,196128,2830,821286938.9,-1.23315967,2400000.095,73.187,6848,,,,
Samoa,WSM,2019,YR2019,69000,181000,5199999.809,1.138585743,61.19693516,0.490819126,197093,2830,852007104.7,4.379823498,1799999.952,73.321,6220,,,,
Cayman Islands,CYM,2012,YR2012,,1829000,183000000,,,1.85900595,58963,240,4291158968,1.229753683,,,,,,,
Cayman Islands,CYM,2013,YR2013,,1721000,192000000,,,1.631714308,59933,240,4405954696,1.279330593,,,,,,,
Cayman Islands,CYM,2014,YR2014,,1993000,168000000,,,1.515167957,60848,240,4563017852,2.654529322,,,,,,99.77700806,94.79302979
Cayman Islands,CYM,2015,YR2015,,2102000,191000000,,,1.424527838,61721,240,4708336756,2.833122427,,,,,,99.02892303,95.25145721
Cayman Islands,CYM,2016,YR2016,,2097000,194000000,9.620119714,19.07838632,1.356580324,62564,240,4909498943,3.239973614,,,,,,,
Cayman Islands,CYM,2017,YR2017,,2147000,271000000,12.082736,21.75649266,1.298987665,63382,240,5166467287,3.184047307,65000000,,,,,,
Cayman Islands,CYM,2018,YR2018,,2384000,284000000,11.27971321,23.01074276,1.238706903,64172,240,5530377593,4.267265672,70000000,,,,,,
Cayman Islands,CYM,2019,YR2019,,2334000,299000000,10.90209042,22.92499679,1.201997124,64948,240,5943589096,3.873076883,72000000,,,,,,
Tonga,TON,2012,YR2012,,57200.00076,28500000,9.990108774,49.78036438,-0.796925117,102736,720,470714083.4,0.823102718,14300000.19,70.242,,,,,
Tonga,TON,2013,YR2013,,59700.00076,29100000.38,10.36311169,51.20951994,-0.94668782,101768,720,450643615.2,0.312307909,11199999.81,70.335,,,,,
Tonga,TON,2014,YR2014,,65800.00305,30100000.38,11.88086337,51.27548213,-0.734749917,101023,720,439878828,2.01870046,9399999.619,70.427,,,,,
Tonga,TON,2015,YR2015,,72599.99847,32400001.53,12.61196165,66.04335517,-0.240829044,100780,720,437006227.2,1.171888256,9199999.809,70.517,,,,,
